,0,1,2,3,4,5,6,7,8,9,10,11,12
297,13,1374,1354,1194,786,1498,802,1642,978,682,2690,1794,1554
298,17,290,514,298,778,378,842,378,946,330,362,138,34
299,327,4,4,4,4,4,4,4,4,4,4,4,4
300,19,5,5,5,5,5,5,5,5,5,5,5,5
301,351,8,8,8,8,8,8,8,8,8,8,8,8
302,20,11,11,11,11,11,11,11,11,11,11,11,11
303,353,6,6,6,6,6,6,6,6,6,6,6,6
304,21,1,1,1,1,1,1,1,1,1,1,1,1
305,22,8,8,8,8,8,8,8,8,8,8,8,8
306,23,14,14,14,14,14,14,14,14,14,14,14,14
307,24,3,3,3,3,3,3,3,3,3,3,3,3
308,25,87,53,65,69,67,19,3,223,3,3,3,3
309,26,9,9,9,9,9,9,9,9,9,9,9,9
310,27,14,14,14,14,14,14,14,14,14,14,14,14
311,28,1,1,1,1,1,1,1,1,1,1,1,1
312,29,15,15,15,15,15,15,15,15,15,15,15,15
313,30,357,309,231,393,375,714,780,753,507,3,3,3
314,31,146,77,160,137,147,134,81,108,110,218,408,597
315,32,589,313,517,406,520,325,226,499,205,2524,2092,1702
316,33,6,6,6,6,6,6,6,6,6,6,6,6
317,237,246,212,302,294,396,204,250,226,230,720,40,680
318,34,262,138,218,186,266,162,130,146,182,1286,1138,658
319,239,42,261,12,12,12,12,12,12,12,12,12,12
320,240,15,51,13,13,13,13,13,13,57,13,13,13
321,354,94,19,201,18,18,18,18,22,38,46,62,56
322,35,17,17,17,17,17,17,17,17,17,17,17,17
323,36,9,9,9,9,9,9,9,17,9,9,9,9
324,37,219,227,171,331,435,427,295,323,271,1347,875,599
325,39,473,397,513,485,421,413,509,551,365,829,609,577
326,40,839,887,999,1183,1219,919,811,983,815,1407,979,1267
327,41,8,8,8,8,8,8,8,56,216,8,8,8
328,243,151,211,115,127,199,103,100,127,109,433,478,400
329,42,17,17,17,17,17,17,17,49,41,17,17,17
330,43,1,1,1,1,1,1,1,21,56,1,1,1
331,44,20,20,20,20,20,20,20,56,44,20,20,20
332,45,1,9,41,17,9,65,33,25,9,1,1,1
333,46,73,113,17,89,89,185,225,113,153,17,105,145
334,47,689,632,758,608,1169,650,539,680,491,1640,1478,1205
